,Steming,Label
129,pilih level kakak tahap close lanjut aktivasi jendela pilih level,Netral
130,kode hp kakak,Netral
131,izin pakai video ajar kelas,Netral
132,video sesi lanjut kakak,Netral
133,manfaat banget,Positif
134,weh bantu,Positif
135,multcloud pakai akun ugm gb,Netral
136,hi kakak jih hubung langsung dssdi ugm pendek akun office tenant milik kapasitas default tibatiba terima kasih,Positif
137,mantap meng edukasi,Positif
138,kakak mute unmute ms team host,Netral
139,kakak meeting mt kadang mute tendang meeting kendala,Negatif
140,nama lengkap bicara,Netral
141,alhamdulillah ikut materi bagus,Positif
142,matur terimakasih,Positif
143,simak kemarin tinggal,Netral
144,simak,Netral
145,terimakasih,Positif
146,password dimasukin gan,Netral
