,Steming,Label
173,the power of cloud technology has undeniably transformed business across industries technology improvement including website deployment public storage and database monitoring auto scaling up all can be done very seamlessly today terimakasih to microsoft maribelajar get to learn all those technologies especially on cloud identities compute services virtual networking storage database and monitoringlogging throughout the four months learned that in essence technologies in microsoft azure share very similar pattern in configuration this makes the learning process easier for developers its time to scale up with these cloud services be whats next,Positif
114,hallo im nasim thsemester student of the public administration universitas padjadjaran currently have completed my studi in independent studies program at pt microsoft indonesia learning track microsoft productivity the modern workplace what great experice for these monthsmany benefits that learned from this studi how microsoft became tool for various computing solutions would like to terimakasih bu fita and kakak noorsy for their knowledge and guidance during these months thank you mp class friends who always dukung each other in times of trouble especially cornerstone excel terimakasih to microsoft maribelajar for bringing us together in this program,Positif
10,halo ramadya wahyu dwinanto mahasiswa informatika universitas harap bangsa purwokerto studi independen batch harap dalam paham konsep teknik analisis data selesai latih oleh sertifikasi aku memvalidasi mampu kualifikasi data analyst praktisi sempat proyekproyek nyata libat analisis data terap teman sempat ikut latih data analyst selenggara ahli bidang sempat emas ajar kembang ayo lewat,Positif
34,hello teman want to share little story about the independent campus program that participated in program ikut magang studi independent sertifikat singkat msib nyata lolos studi independent data analyst pt mari ajar indonesia cerdas ikut interview berkalikali usah dighosting teman am student of arabic literature masuk data analyst pesimis buanget teman can finish this program or not program benarbenar uras energi pikir kuota internet jerit anak kost aplikasiaplikasi hubung program sangatsangat uras rekening kuota kondisi buruk akhir my family was hit by disaster my mommy had to be rushed to zainoel hospital in banda aceh because her parathyroid cancer which had eroding her body for years recurred posisi medan langsung aceh rawat my mommy masuk kelas stupent cerita detail masalah asisnten mentor mbak hanif izin izin hilang tim projects capstoneku ajar kelas berbulanbulan kerah project bagus alhamdulilah belepotan selesai aplikasi pitching video demostrasi video sungguh nikmat begadang lupa siang malam konsultasi mentor anis beliau beri semangat respon positif nyata lulus bahagia kurang ikut program sehandal terimakasih mentor ajar terimakasih,Positif
32,hello teman mayang sari mahasiswi program studi manajemen sekolah ilmu ekonomi bangun tanjungpinang program studi independent sertifikat batch bidang data analyst harap ikut program tambah mampu wawas bangun relasi teman ikut program hadap dunia industri teman gabung ragu pilih sempat alam mari siap baik dunia industri,Positif
148,halo yahya putra pradana universitas sebelas maret bangga syukur program studi independen data and artificial intelligence microsoft agustus desember periode harga momen kesan ilmu raih salah serta studi independen microsoft bidang data artificial intelligence terima kasih sempat ajar wawas kait ilmu data layan microsoft azure sql database power bi tarik mayoritas layan minim coding mudah ajar mahir layan terima kasih charles mentor kakak yuga asisten mentor bimbing bagi ilmu informasiinformasi giat studi jalan lancar ilmu manfaat pribadi serta tantang rintang program selesai program studi independen terima kasih luncur salah program keren magang studi independen program,Positif
38,alam bilang alam tantang kuliah merdeka mana sesuai mitra meng tarik mentor experienced banget langsung suruh praktek lapang langsung paham materi,Positif
83,hallo wahyu aqshari bimbing konseling universitas negeri semarang ikut studi independen sertifikat maribelajar learning track modern educator track no hard feeling but still the best akun tumpang tag kakak,Positif
179,mt school parsial agenda upgrading trainer leader materi latih microsoft teams education essentials materi transformasi sekolah pusat aktivitas microsoft teams kelola kelas virtual model ajar asinkron sinkron kelola dokumen kelas virtual integrasi teams aplikasi distribusi tugas teams materi mari ajar terima kasih mari ajar laksana rabu oktober dapur mar wates kulon progo,Positif
180,ayo ikut kontes foto agustus kemerdakaan nkri identik riah raya merdeka sekolahsekolah instansi perintah raya merdeka lingkung institusi ayo bagi momenmomen seru kolega anak didik raya hut nkri komunitas dapat reward tarik syarat didik indonesia milik akun office domain milik aju minta akun bitkyregistrasioffice gabung anggota kelompok komunitas guru inovatif microsoft teams gabung baca tunjuk gabung bitlygabungteams unggah fot caption tarik tab conversation unsur nilai kualitas gambar terang gambar caption sesuai tema deadline september as media partner,Positif
27,selamat sukses lolos mahasiswa uis program studi independen msib batch semangat jalan studi independen moga sukses,Positif
100,hallo nolas veta akuntansi politeknik negeri jakarta ikut studi independen sertifikat maribelajar learning track information worker track education is everything education is your power education is your way in life for whatever you want to dapat twibbon twbnztwibbonmaribelajar ikut maribelajar,Positif
23,kelas malam,Netral
103,hallo dinda yulia manajemen universitas muhammadiyah prof hamka ikut studi independen sertifikat maribelajar learning track information worker track,Positif
67,mahasiswa sik lolos msib batch kampus merdeka halo sobat sikupi kabar bangga bahagia orang mahasiswa program studi sistem informasi laut lolos msib magang studi independen sertifikat batch program kampus merdeka lho program konversi sks mata kuliah orang mahasiswa terima mitra beda keren pt artificial indonesia pt dicoding indonesia pt hashmicro solusi indonesia microsoft pt orbit ventura indonesia pt prosa solusi cerdas zenius ruangguru pt lentera bangsa benderang wwf indonesia kece banget mahasiswa sik ohya mahasiswa sik angkat lho ayoo tunggu mari gabung prodi sistem informasi laut upi kampus serang salur kembang passionmuu ucap selamat sukses mahasiswa ikut msib batch moga mantik semangat mahasiswa prodi sik,Positif
9,hai guyss kenal savira yuliani mahasiswi program studi teknik elektro universitas muhammadiyah surakarta progam studi independent sertifikat kampus merdeka batch ajar microsoft data engineer harap ikut program kembang tambah mampu depan tambah relasi dunia industri ajar aplikasi data engineer dunia industri sempat teman teman tambah mampu relasi ayo gabung life is beautiful struggle,Positif
153,hi ikut giat studi independen selenggara banget ajar semenjak giat sempat sertifikasi benefit senang banget sempat ajar bareng mentor bimbing langsung sabar professional terima kasih moga program depan,Positif
104,halo nama fikri sayyidar rusli salah mahasiswa terima program msib magang studi independen sertifikat ada kampus merdeka kemendikbud program terima salah usaha gerak bidang teknologi pt microsoft indonesia giat studi independen ambil learning track cloud fundamental mana ajar guna microsoft azure power apps power bi moodle sempat ikut uji sertifikasi guna pribadi jalan program ajar ajar terimakasih pt microsoft indonesia terima ikut program studi independen sertifikat lupa terimakasih arief nugroho mentor kakak aulia rahman asisten mentor bimbing giat studi independen,Positif
126,bayang sama sulit jalan sama jatuh cinta pandang pantang pulang pepatah anak dekat orang dekat restu orangtua restu sahabat faktor utama hormat tri didik nadiem anwar makarim alias kakak nadiem kenal pribadi kenal aplikasi terima kasih lahir anak dengan alam eko cahya purnama remaja paruh lemak mahasiswa sekolah teknologi bandung ikut program kampus merdeka notabene anak kemendikbud studi independen usaha microsoft pikir lisensi windows gratis nila tahu cloud computing learning track cloud fundamental situ saya sempat sertifikasi microsoft tahu sertifikasi lulus uji saya temu mentor erick kurniawan ucap terima kasih ajar temu virtual baik nyata moga sehat lupa asisten mentor kelas cf kakak keren kezia kawaii nama orang keren banget sabar dengar tanggap keluh telaten kerap serang cerita mahasiswa rajin telat kumpul lapor kakakable banget deh moga kakak sehat karier cemerlang ceria last but not least ceeiilehh untuk teman kelas cf latar zona terima kasih kerja sama susah senang alam galau huruhara deadline,Positif
135,studi independen halo achmad raja qodli zaka serta program studi independen sertifikat kampus merdeka prodi didik teknik informatika komputer angkat universitas negeri semarang terima program senang terima pt microsoft indonesia bangga gabung salah usaha dunia ilmu cloud computing ajar bangku kuliah senang temu teman indonesia ramah kompak bantu alam ampu insap mentor universitas gadjah mada alam damping asisten mentor kakak revin hati intens arah bimbing repot alam harga dapat lupa bekal studi independen moga lanjut sukses karier bidang cloud computing,Positif
165,halo yusuf universitas jember sebentar alumni program studi independen sertifikat pt microsoft indonesia learning track cloud fundamental track ikut program sempat ajar lintas disiplin ilmu sesuai butuh industri tani mentor mumpuni bidang giat ajar mudah jelas mentor serta contoh sederhana manfaat dapat giat relasi softskill hardskill kait teknologi kini cloud computing terimakasih bantu mampu dunia kerja ayo daftar diri program studi independen sertifikat kampus merdeka siap cerah,Positif
87,hallo muhammad henry kurniawan program studi sistem informasi universitas muria kudus ikut studi independen sertifikat maribelajar learning track intelligence cloud track awal impi doa yakin buat jalan hidup penuh ketidakpastian,Positif
98,hallo ahmad syafi manajemen universitas islam malang ikut studi independen sertifikat maribelajar learning track intelligence cloud track its never too late to increase knowledge,Positif
111,hi everyone im angelina novianti winarlie an information systems student from bina nusantara university want to share one of my recent studying experiences from agustus december became part of kampus merdeka independent student for cloud fundamental track with maribelajar and microsoft this program is one very wonderful alam for me it led me to gain many new experiences and knowledge about cloud computing with microsoft cloud azure learned and took exams in azure fundamentals power platform fundamental security compliance and identity fundamentals and azure administrator associate through selfpaced studying with microsoft learn and online synchronous asynchronous classes with the class mentor and assistant mentor furthermore managed to make one capstone project at the end of this program it helps me get fundamental knowledge about azure and helps me prepare for my future career at first it was not easy for me to adjust to this program since this was the first time was introduced to cloud computing were new challenges that needed to face for this new knowledge learn that are still many things that still know about information technology to learn about azure cloud computing as one of the most demanded technologies these days is such an incredible opportunity that can alam this year amazingly this program opens competitive opportunities with international colleagues by providing microsoft international certifications lastly want to say that feel really honored to able to become one of the students of this remarkable program thank you to mentor mr paulus insap santosa assistant mentor muhammad revin arnan and all the participants for guiding and helping me through this whole program hope we can achieve all of our dreams hope to meet you teman again,Positif
170,be person who is always sedia to face every challenge that comes your way bj habibie alhamdulillah have completed the first batch independent studi of kampus merdeka at pt microsoft indonesia got lot of learning both soft skills and hard skills which were given by the mentor from maribelajar as the organizer with enthusiasm and challenges have gone through episode after episode with sense of responsibility as student agent of change during this pandemic in the learning track microsoft productivity the modern workplace capestone project is provided in the form of solution that brings microsoft capabilities and is integrated with each other combined with power automate powerfull capabilities for automation on this occasion tried to implement it in the nyata world in this in the online workshop management process at lpk stmik jakarta stik the result achieved is that the solution is able to provide better online workshop management participate in independent studi at pt microsoft indonesia was an interesting and valuable alam for me learned many things from the process especially when was chosen from applicants am very proud to be able to make the good name of my beloved campus proud hopefully other stmik jakarta stik colleagues can follow in our footsteps and make our beloved campus proud thank you for the attention and dukung of the lecturers and the stmik jakarta stik campus who have given us the opportunity to work and innovate thank you microsoft thank you maribelajar thank you mentor agus suparno and his mentor assistant indra gunawan without all of you would never have had the opportunity to get through my amazing and stunning semester this year from my deepest heart thank you,Positif
161,halo kenal nama abdul ghany maila salah serta studi independen sertifikat merdeka ajar kampus merdeka pt microsoft indonesia kelas mp microsoft productivity the modern workplace detikdetik episode jalan program ikut program senang temu orang milik ajar singkat agenda kuliah sinkron asinkron materi bahasa inggris indonesia temu kelas buka menit online pesan harap program semester giat mahasiswa alam dunia profesi kembang tenaga kerja profesional,Positif
64,hello annisa hanifaturohmah jurus didik bahasa inggris universitas jenderal soedirman kelas aphrodite program modern educator track jalan giat studi independen selenggara pt maribelajar kesan giat msib sungguh manfaat tingkat mampu informasi teknologi bekal depan selenggara ajar bas digital ilmu dapat didik abad inclusive classroom student centered learning education transformation framework ajar teoritis ajar praktik sempat demonstrasi kait pengggunaan aplikasi microsoft aplikasi flipgrid fitur windows samping terima kasih sempat ikut giat sertifikasi laman certiport overall it is an amazing and beneficial alam to be able to partake in this program pesan mitra program rancang informasi selaras mitra lembaga laksana msib kemendikbud ristek sebar informasi beda kait informasi progam jalan terimakasih mitra semangat maribelajar fighting,Positif
15,hallo yohanes irvan universitas kanjuruhan malang program studi teknik informatika ikut program studi independen sertifikat kampus merdeka batch harap moga ikut giat tambah mampu bidang it buat aplikasi platform microsoft developer tingkat mampu kerja tim bangun relasi teman teman temu ayoh daftar program kampus merdeka gabung jumpa teman teman,Positif
41,hme appreciation selamat serta lolos msib batch studi independen pt maribelajar indonesia cerdas empowering everyone to learn cloud administrator dicky wanhar teknik elektro departemen humas himpun mahasiswa elektro universitas islam nusantara for more information contact us on instagram email hmeuninus,Positif
167,when it comes to it are many topics to talk about as someone whos always interested in learning new things was confused about what wanted to be in the future programmer designers sistem administrators are many choices that feel like have no purpose in life until one day my friend told me that he had made an application but was confused about how to make the application he made accessible to others he had thought about deploying his application to the cloud but he didnt understand how to it then thought since lot of people want to be programmers and make things what if become the person who supports their work by becoming cloud administrator thats since august have participated in certified independent studi program organized by microsoft indonesia with the topic of learning cloud fundamentals in this course learned lot about microsoft azure as cloud computing platform that can be used for various things from deploying web applications to training machine learning models apart from taking classes was also required to design and build cloud solution to problem that had nyata handson alam in this program can also take international certification from microsoft maximum of times which with these certificates can get more kerja opportunities when it comes to it its not just about programming theres lot to learn and think cloud computing will be highly soughtafter mampu in the future joining the microsoft indonesia independent studi program made me sedia to face that future and also recommend you to gabung it tags,Positif
109,hallo zulfikar akbar adiprayoga didik laut ikan universitas didik indonesia ikut studi independen sertifikat maribelajar learning modern educator track takut gagal jatuh diri kalah coba gagal bangkit juang hidup no pain no gain tag teman dapat twibbon twbnztwibbonmaribelajar ikut maribelajar ayo ikut,Negatif
80,alhamdulillah terimakasih god ive passed my third microsoft international certification microsoft azure data fundamentals dp with score of the topic of microsoft azure data fundamentals is about exploring core data concepts exploring roles and responsibilities in the world of data describing concepts of relational data exploring concepts of nonrelational data exploring concepts of data analytics exploring relational data in azure exploring nonrelational data in azure examine components of modern data warehouse explore data ingestion in azure explore data storage and processing in azure get started building with power bi,Positif
52,latih ms excel fcd halo juang karier microsoft excel fungsi guna microsoft excel syarat kriteria lamar kerja acara fateta careers day hadir selenggara giat latih microsoft excel bawa latih handal kolaborasi maribelajar latih laksana juli zoom meeting trainer rinaldi technical trainer at maribelajar apasih benefit esertifikat sertifikasi microsoft knowledge relation tunggu daftar diri isi link bawah free registration for public salam hangat fcd narahubung idham ilyas whatsapp line idhamilys,Positif
26,himpun mahasiswa program studi didik kimia fakultas guru ilmu didik universitas kristen indonesia selamat lolos seleksi program merdeka ajar kampus merdeka bkp magang studi independen bersertifikatangkatan,Positif
76,hallo eti desti sastia jurus fisika universitas sriwijaya ikut studi independen sertifikat maribelajar learning track intelligence cloud track mimpi usaha hasil coba impi kejar tunggu mari gerak wujud mimpi,Positif
43,digital future skills net programming training for smkcoding program latih net programming siswasiswi sekolah tengah juru latih ada tanggal oktober oktober selenggara daring online bebas biaya daftar gomaribelajarorgtraining klik daftar latih sempat magang usaha nama indonesia see in the class become programmer for bright future,Positif
24,halo sobat merdeka unhas mbkm program magang stui independen sertifikat msib proses daftar serta angkat kenal maribelajar salah mitra program studi independen daftar ikut webinar sosialisasi sudi independen maribelajar tema microsoft digital talent academy rabu januari sd wita ayoo sobat merdeka unhas tinggal sila daftar dapat ilmu lewat info info tarik mbkm unhas iya sobat merdeka,Positif
3,msib mari ajar holaaa everyone tesalonika universitas sumatera utara senang sempat ikut program msib by kemendikbud maribelajar official partner pt jalan program studi independen ikut mari ajar ada webinar latih lohhh waaahhh keren banget iya rangkai giat fitur team asah mampu kerjasama harap ikut rencana ajar susun telah mahasiswa tampil percaya ilmu dapat excited to gabung the class are teman sedia next year is your turn adik dkk,Positif
152,halo salam kenal semu muhammad iqbal alfarizi sebentar alumni program studi independent sertifikat pt microsoft indonesia learning track cloud fundamental ikut program bilang program tarik program sempat ajar paham butuh industri masa damping mentor ahli bidangnnya giat ajar mudah senang jelas serta beri contoh mudah paham alam harga program msib microsoft manfaat dapat tambah relasi tingkat soft mampu hard mampu terimakasih mentor asisten mentor teman semu terimakasih sempat ikut program,Positif
49,februari juni alhamdulillah program studi independen cycle mitra pt maribelajar microsoft senang salah ribu mentee nyata lulus bidang modern educator track kesan dalam syukur kelas poseidon mentor asmen kompeten bidang ilmu dapat guna karier depan ajar abad ajar inklusi lupa mentee sempat uji sertifikasi microsoft ilmu mentee dapat relasi mahasiswa kampus kenal ajar microsoft teams mentee penuh tugas capstone project tim ajar bas abad aplikasi microsoft sdn isola bandung sekolah program sekolah gerak respon positif giat program alam kesan moga depan mahasiswa ajar kembang program kampus merdeka usaha buka sempat mahasiswa internship bidang im grateful for the oppurtunity,Positif
131,alam tarik ikut giat studi independen microsoft ajar cloud fundamental track ilmu alam teman voucher sertifikasi gratis terimakasih,Positif
172,deciding to gabung msib was one of the best decisions have ever made being part of was great alam that couldnt imagine thank you for for giving me chance to studi many things in these past four months its fascinating and challenging time in my life ive learned various insightful knowledge these past four months from basic to advanced from fun and easy to complicated and complex lessons but thank god and provided us with knowledgeable mentor hallo ali mentor mp the mentor was very informative and he always made sure that everyone in our class clearly understood the lessons he asked our opinions and our difficulties and answered our questions anytime needed what loved the most about this program is that can take four kinds of international certifications from microsoft for free its such tempting opportunity isnt it well after all its such fantastic time with and that can never forget once again thank you,Positif
30,alam senang ikut giat ajar maribelajar teman ilmu dapat ikut giat sana terima kasih maribelajar suka maribelajar,Positif
121,haloo havid zaeni al muttaqien mahasiswa sistem informasi kampus solo universitas bina sarana informatika sempat salah serta studi independen microsoft indonesia learning track cloud fundamental selenggara kampus merdeka alam lupa temu teman teman penjuru indonesia latar jurus ajar cloud computing azure tools dukung power platform solusi end to end keman patuh identitas microsoft teknologi terimakasih mentor erick kurniawan skom mkom assisten mentor mbak keren kezia super sabar materi lupa sempat ciayoo,Positif
115,hi everyone my name is dinda sabila from indonesia university of education im currently pursuing an independent studi by the kampus merdeka at microsoft indonesia with modern productivity learning track would like to thank and who has given me the opportunity to be able to participate in this activity and also want to thank my mentor mr argo wibowo and assistant mentor kakak verren christin who has guided me during this activity and not to forget my friends in this program you teman are amazing hope we can meet again on another occasion really got lot of alam and knowledge from this program,Positif
