,Steming,Label
240,kakak daftar status daftar kakak,Netral
57,cek pesan,Netral
301,hi kakak syafa kenan kakak sila daftar,Positif
320,oh iya kakak terima kasih iya kakak jawab manfaat sukses kakak,Positif
36,umum mana kakak,Netral
374,izin min umum hasil kelulus min terimakasih,Positif
20,masuk wa bayar,Negatif
368,halo kakak lolos nihh gabung grup kakak pesan kakak,Positif
75,cek pesan kakak,Netral
200,maribelajar respon lari tanggung niat program kampusmerdeka mending gabung kasihan mahasiswa digantungin,Positif
77,cek pesan min,Netral
263,keren selamat menang,Positif
410,tanggal januari daftar diri,Netral
149,hallo kakak tahap seleksi jadwal ajar,Netral
367,kakak,Netral
2,tolong tag kakak,Positif
52,terima kasih kakak,Positif
262,keren,Positif
253,pertamax pertamaxx,Netral
259,halo kakak email tunggu kakak,Netral
321,nyata lolos maribelajar web kampus merdeka seleksi,Netral
183,parah banget pilih rangin tanggungjawab tolak tmpt knpa tibatiba rangin nyata lolos,Negatif
151,hallo kakak kuliah matkul wajib ambil,Netral
378,minimal semester program studi independen kakak,Netral
302,min tolong cek pesan terimakasih,Positif
190,lolos kakak,Netral
74,lolos,Netral
243,jadwal kelas pagimalam min,Netral
402,iwt kah min minimal iya besok terima program,Netral
87,kakak terima kasih,Positif
239,min,Netral
143,terimakasih konfirmasi email pemberitahuan apa cek berkas terimakasih,Positif
349,izin konversi mata kuliah program studi independen selesai jalan,Netral
266,bayar gratis kakak,Positif
288,iyaa banget was,Positif
136,mac osx monterey aman kakak,Positif
166,hi kakak mohon periksa pesan kait sertifikat unduh signin,Positif
83,lolos kakak,Netral
371,cek email kala kakak,Netral
155,certificate data certificate min,Netral
279,aduh kalah suhu,Negatif
126,hi kakak seleksi parallel administrasi uji tahu dasarterima kasih,Positif
195,kemarin tanggal agustus kakak info,Netral
265,terima kasih tuhan kari,Positif
384,jadwal ajar jambrpa min,Netral
104,hi kakak,Netral
153,hi kakak daftar buka sd januari saran daftar ikut seleksi tahap terima kasih,Positif
282,super bantu min,Positif
226,kakak ikut pretestnya,Netral
25,izin min jadwal ajar,Netral
196,pagi min terima email masuk telegram min isi formulir loa,Positif
64,done kakak,Netral
15,halo kakak usaha daftar lembaga latih kerja teknologi informasi komunikasi swasta indonesia,Netral
297,halo kakak izin pic kampus perlu konfirmasi konversi sks,Positif
109,kakak,Netral
336,mana kakak pesan,Netral
308,halo min tolong cek pesan,Positif
26,offering mitra tanggal kakak,Netral
76,lolos informasi email,Netral
43,kakak kelompok wa coba cek,Netral
280,min tnya mngenai sptjm msib format ganti ckup nama ybs kop surat,Netral
3,kakmaaf kakak,Negatif
383,umum,Netral
49,kereeen,Positif
405,registrasi kakak,Netral
30,uang bantu uang saku kakak,Positif
121,terima kasih kakak,Positif
115,halo kakak tahap tes seleksi,Netral
388,min logo certification modern worker track,Netral
216,halo min info kait laksana program studi independen jalur data analysts kirim email kait laksana program,Positif
264,mantapp,Positif
209,hallo dear mohon luncur email kirim id masuk kelompok,Positif
316,kolom data pic kampus form kumpul dokumen adminstratif koordinator mbkm universitas min dosen bimbing mbkm terimakasih,Positif
1,kakak maribelajar uang saku,Netral
313,hi kakak abai email email sesuai jalur ajar kakak pilih kirimkanterima kasih,Netral
22,hi kakak tunggu unggah turn on notifications lewat,Netral
317,hi kakak bimbing saran isi pic kampus,Positif
319,hi kakak kemarin isi angka kolom no hp pic kampus form maribelajar kumpul sptjm surat rekomendasi coba kakak angka terimakasih,Positif
7,kakak ayo ikut giat,Positif
141,izin min daftar email test survei kebhinekaan,Netral
86,hi kakak email mohondapat periksa inboxspam email kakak terima kasih,Positif
352,hai kakak pretes tanggal januari email,Netral
241,admin link pre test msib cycle buka link,Netral
215,lihat jadwal ajar jam cycle batch,Netral
68,kakak izin terima terang platform proses ubah,Positif
50,selamat maribelajar bangga mentee maribelajar batch,Positif
156,kakak studi independen batch buka,Netral
252,min komennya limit min vibicloud,Negatif
395,syedih kitaa,Negatif
357,sore kakak,Netral
254,career maribelajar,Netral
276,batch kemarin program modern productivity bantu banget ikut studi independent skripsianthankyou maribelajar,Positif
178,bantu kakak,Positif
281,dengar papar materi ttd wakil rektor sptjm digital respon kampus tuntut,Netral
390,titip yasoanya kendalanyaa acc info,Negatif
237,hallo kakak mohon cek email kala tahap proses seleksi berkas,Positif
71,min mohon cek pesan terimakasih,Positif
129,hi kakak mohon tunggu informasi,Positif
144,mohon izin kakak konfirmasi platform kakak,Positif
335,gabung,Positif
133,kakak terimakasih informasi,Positif
203,lolos data analyst kakak lanjut,Netral
393,bantu install tutor ytb,Positif
255,sedia jenjang didik kakak,Positif
72,lolos program sib masuk kelompok,Netral
396,office luar tulis akun office officenyaa,Netral
235,cek pesan,Netral
37,gmail cek web kampus merdeka kakak,Netral
