,Steming,Label
136,mac osx monterey aman kakak,Positif
137,email mohon cerah min,Positif
138,hi kakak cukul posisi lamar sila sesuai jalur ajar lamar terima kasih,Positif
139,min kirim kerja masalah min,Negatif
140,kakak,Netral
141,izin min daftar email test survei kebhinekaan,Netral
142,hi dear berkas sptjmsr sesuai pretest kirim tanggal januari kemarin mohon pasti periksa folder spam promosi terima kasih,Positif
143,terimakasih konfirmasi email pemberitahuan apa cek berkas terimakasih,Positif
144,mohon izin kakak konfirmasi platform kakak,Positif
145,admin tolong baca pesan,Positif
146,uang saku program min,Netral
147,keren banget daftar deh,Positif
148,what language is it,Netral
149,hallo kakak tahap seleksi jadwal ajar,Netral
150,hi kakak tahap seleksi liput seleksi administrasi lanjut pretest tahu dasar nyata softskill and plan for future umum jadwal kakak prinsip laksana persis kuliah uts uas program mnggantikan aktivitas kuliah semester konversi sks terima kasih,Positif
151,hallo kakak kuliah matkul wajib ambil,Netral
152,hi dear matkul wajib ambil boleh catat sks konversi,Positif
153,hi kakak daftar buka sd januari saran daftar ikut seleksi tahap terima kasih,Positif
154,kakak panjang daftar,Netral
155,certificate data certificate min,Netral
156,kakak studi independen batch buka,Netral
157,hi kakak buka kakak sila daftar taut terima kasih,Positif
158,hi kakak kakak salah terima kasih,Negatif
159,astagfirullah batesnya januari min balas januari,Positif
160,min baik web lowong kmren tercantoll tambah ijazah,Positif
161,hi coba unggah berkas maksud mohon pesan nama lengkap terimakasih,Positif
162,min lowong kmren proses terima tolong tolak ngedit ijazah,Positif
163,min email mari ajar logout login ngak minmohon informasi,Netral
164,hi kakak akun maribelajar non aktif,Netral
165,baik file simpan situ min sertif yamg unduh pemberitahuan nonaktif bantu,Positif
166,hi kakak mohon periksa pesan kait sertifikat unduh signin,Positif
167,mahasiswa,Netral
168,hi kakak boleh,Netral
169,sertifikat,Netral
170,hallo kakak sertifikat serta ikut challenge,Positif
171,moga lolos,Positif
172,umum,Netral
173,kakak,Netral
174,kakak lolos lolos email,Netral
175,memang tes uman,Netral
176,tes tanggal,Netral
177,permisi lolos kelompok cakap,Positif
178,bantu kakak,Positif
179,terimakasih infony,Positif
180,kakak lolos rekening,Netral
181,halo kakak kakak lolos program studi independen kakak,Netral
182,info lolos kakak,Netral
183,parah banget pilih rangin tanggungjawab tolak tmpt knpa tibatiba rangin nyata lolos,Negatif
184,kakak,Netral
185,reportttt susah,Negatif
186,parahh banget iniii,Negatif
187,hi admin sedih kecewa kurang kuota tolak tawar isi krs harap umum batal rencana terima kasih,Negatif
188,mohon lolos tibatiba lolos,Positif
189,lolos,Netral
190,lolos kakak,Netral
191,rezeki kakak,Netral
192,izin kakak email lolos,Netral
193,kakak tes tanggal,Netral
194,tanggal juli kakak info,Netral
195,kemarin tanggal agustus kakak info,Netral
196,pagi min terima email masuk telegram min isi formulir loa,Positif
197,izin kemarin tanggal isi loa survey kebhinekaan umum,Netral
198,hallo min izin mahasiswa lolos gabung kelompok program jalan arah mohon balas iya,Positif
199,halo admin program studi idependen cloud administrator grub telewams team akun kampus merdeka giat lapor hari coba cakap wa dibales,Positif
200,maribelajar respon lari tanggung niat program kampusmerdeka mending gabung kasihan mahasiswa digantungin,Positif
201,siang admin lolos studi independen microsoft application maker kelompok informasi,Netral
202,data analist kelompok,Netral
203,lolos data analyst kakak lanjut,Netral
204,tunggu email pesan dibales,Netral
205,info email data analytic,Netral
206,hai dear cek email kirim informasi baru,Positif
207,hai dear informasi kelompok email mohon cek,Positif
208,hai dear mohon cek email kirim informasi baru,Positif
209,hallo dear mohon luncur email kirim id masuk kelompok,Positif
210,hallo kakak program on boarding nasional cek email informasi,Netral
211,terima khusus program data analyst,Positif
212,cari teman program,Positif
213,data analysts,Netral
214,data analyst info iya,Positif
215,lihat jadwal ajar jam cycle batch,Netral
216,halo min info kait laksana program studi independen jalur data analysts kirim email kait laksana program,Positif
217,kakak twibbon selebrasi mbkm cycle sib mitra,Positif
218,umum cycle batch program cloud administrator umum detik email apa mohon informasi,Positif
219,moga lolos,Positif
220,pretest tes min,Netral
221,ngerjain pretest info kirakira min,Netral
222,umum diterimatidaknya pretest diberitahukan email kakak,Positif
223,pretest umum kakak,Netral
224,mohon maaf kakak ikut pretest minggu umum lolos tidak kakak,Negatif
225,moga lolos,Positif
226,kakak ikut pretestnya,Netral
227,kakak info tahap,Netral
228,daftar pathway kakak,Netral
229,kakak pasti info terima pretest,Positif
230,microsoft batch kakak,Netral
231,umum kah,Netral
232,kakak tunggu,Netral
233,moga lolos,Positif
234,halo selamat sore bapakibu kenal salsabilla putri arista member mari ajar microsoft msib angkat kampus merdeka izin kait sertifikat maribelajar angkat akses bagaiamana download sertifikat bapakibu terimakasih,Positif
235,cek pesan,Netral
236,daftar email test kakak,Netral
237,hallo kakak mohon cek email kala tahap proses seleksi berkas,Positif
238,bach intteligence cloud cloud ambil program yya kakak beda program kakak,Positif
239,min,Netral
240,kakak daftar status daftar kakak,Netral
241,admin link pre test msib cycle buka link,Netral
242,jadwal hari lihat mana min,Netral
243,jadwal kelas pagimalam min,Netral
244,nunggu msib min,Netral
245,tunggu informasi,Netral
246,waww tingkyuu min,Positif
247,maribelajar buka studi independen min nunggu banget tanggal buka track harepin,Netral
248,banget,Netral
249,cek pesan kakak,Netral
250,hallo kakak buka daftar studi independen cycle lupa daftar jumpa kelas,Netral
251,done kakak,Netral
252,min komennya limit min vibicloud,Negatif
253,pertamax pertamaxx,Netral
254,career maribelajar,Netral
255,sedia jenjang didik kakak,Positif
256,ijazah daftar,Netral
257,wahh mantap lupa kunjung profil iya,Positif
258,halo kakak admin daftar april daftar kah,Netral
259,halo kakak email tunggu kakak,Netral
260,hallo kakak daftar gelombang daftar cek email kala informasi bagi kelas,Netral
261,kakak terima kasih kakak,Positif
262,keren,Positif
263,keren selamat menang,Positif
264,mantapp,Positif
265,terima kasih tuhan kari,Positif
266,bayar gratis kakak,Positif
267,gratis kakak,Positif
268,uang saku tulis juta bulan ubah ribu bulan,Netral
269,hallo kakak lupa ikut jelas kait uang saku besok iya,Positif
270,review batch mari ajar,Netral
271,min tolong cek pesan,Positif
272,done kakak,Netral
273,hai admin tolong cek pesan,Positif
274,angka romawi angka min tata letak guna banget skripsi reels,Positif
275,hi kakak terima kasih masuk tampung,Positif
276,batch kemarin program modern productivity bantu banget ikut studi independent skripsianthankyou maribelajar,Positif
277,pakai daftar isi,Netral
278,tutor suhu,Netral
279,aduh kalah suhu,Negatif
280,min tnya mngenai sptjm msib format ganti ckup nama ybs kop surat,Netral
281,dengar papar materi ttd wakil rektor sptjm digital respon kampus tuntut,Netral
282,super bantu min,Positif
283,tnya min sptjm wkil direktur mahasiswa maksud wakil rektor wakil dekan,Netral
284,yeay,Positif
285,hi kakak tanda tangan level universitas kakak wakil rektor,Netral
286,ringan wakil dekan sj min warek susah lumayan susah temu ddline februari batas up berkas,Netral
287,periode giat kontrak masuk min feb juni,Positif
288,iyaa banget was,Positif
289,permisi kakak surat rekomendasi ditandatangani kaprodi dekan fakultas mohon konfirmasi terima kasih,Positif
290,min silabuscapaian program min,Netral
291,hi kakak besok bagi kelas virtual terimakasih,Positif
292,hi kakak,Netral
293,hi kakak kait masalah langsng hubung kampus merdeka via tawkto pop up cakap platform sembari masalah kampus merdeka terimakasih,Negatif
294,kakak terimakasih,Positif
295,min nonton ulang onboarding mana,Netral
296,min umum lolos daftar terang seleksi,Positif
297,halo kakak izin pic kampus perlu konfirmasi konversi sks,Positif
298,hi kakak kirim progress ajar mhasiswa shg termonitoring kampus terimakasih,Positif
299,mohon maaf kakak izin nama email nomor hp pic kampus teman terimakasih,Positif
300,halo kakak admin orang,Netral
301,hi kakak syafa kenan kakak sila daftar,Positif
302,min tolong cek pesan terimakasih,Positif
303,oke kakak,Positif
304,selamat malam kakak mohon maaf ganggu buka link format surat nyata tanggung mutlak mahasiswa isi susah hapus sedia harap link tanggal terima kasih,Positif
305,maksud,Netral
306,halo kakak surat nyata tanggung mutlak unduh website maribelajarcoid,Netral
307,oke kakak mohon maaf repot,Negatif
308,halo min tolong cek pesan,Positif
309,min gmail kait ikut on boarding arti kirim,Netral
310,jam kerja min sayang relaynya youtube,Negatif
311,halo min tolong cek pesan iya terima kasih,Positif
312,halo min tolong cek pesan terima email undang on boarding akun microsoft jalur daftar terimakasih,Positif
313,hi kakak abai email email sesuai jalur ajar kakak pilih kirimkanterima kasih,Netral
314,hi kakak sila cek email,Positif
315,cek pesan min tolong,Positif
316,kolom data pic kampus form kumpul dokumen adminstratif koordinator mbkm universitas min dosen bimbing mbkm terimakasih,Positif
317,hi kakak bimbing saran isi pic kampus,Positif
318,kakak terimakasih info,Positif
319,hi kakak kemarin isi angka kolom no hp pic kampus form maribelajar kumpul sptjm surat rekomendasi coba kakak angka terimakasih,Positif
320,oh iya kakak terima kasih iya kakak jawab manfaat sukses kakak,Positif
321,nyata lolos maribelajar web kampus merdeka seleksi,Netral
322,halo min izin umum pretest email umum lolostidaknya terima kasih,Negatif
323,halo kakak surat rekomendasi format email minta surkom paham beda surkom daftar,Netral
324,serta surkom daftar unggah lolos format kampus kakak,Positif
325,kakak umum,Netral
326,oh okeokeee terimakasih kakak,Positif
327,min pretes tanggal januari kemarin info lulus hasil pretes min,Netral
328,cepat banget info hmm,Netral
329,kakak email,Netral
330,kakak,Netral
331,kakak email umum hasil pretes,Netral
332,jugaa,Netral
333,kakak pre test tanggal kah,Netral
334,btw unofficial kakak,Netral
335,gabung,Positif
336,mana kakak pesan,Netral
337,ayo siniii,Netral
338,daftar tanggal kakterus email pretes tanggal kakak,Netral
339,iya kakak kemarin email umum jadwal pretes tanggal tanggal kirim pretes kakak umum hasil pretes lolos,Positif
340,kakak daftar tanggal januari,Netral
341,amin rabbalalamiin,Netral
342,moga lolos kakak,Positif
343,amin kakak,Netral
344,jadwal ajar diberitahukan kelas kakak,Netral
345,ambil tawar gadisuruh unggah surat rekomendasi belah unggah surat daftar,Netral
346,gabung,Positif
347,pesan kakak,Netral
348,daftar wajib unggah,Netral
349,izin konversi mata kuliah program studi independen selesai jalan,Netral
350,permisi lolos maribelajar tolong info group whatsapptelegramnya terimakasih,Positif
351,kelompok wa unoff,Netral
352,hai kakak pretes tanggal januari email,Netral
353,kakak daftar modern educator track,Netral
354,masuk kakak pesan,Netral
355,iya kakak,Positif
356,hai teman teman test tanggal januari ada umum lulus,Positif
357,sore kakak,Netral
358,halo kakak maaf jbjb gabung kelompok wa kakak,Positif
359,pesan kakak,Netral
360,gabung kakak,Positif
361,masuk kakak,Netral
362,pesan kakak,Netral
363,miin koo gabisa tanggal sesuai jadwal baru tanggal sesuai jadwal kontrak mohon bantu min,Positif
364,selamat malam kakak mohon maaf ganggu buka link format surat nyata tanggung mutlak mahasiswa isi susah hapus sedia harap link tanggal terima kasih,Positif
365,halo kakak gabung,Positif
366,pesan kakak,Netral
367,kakak,Netral
368,halo kakak lolos nihh gabung grup kakak pesan kakak,Positif
369,kakak,Netral
370,daftra daftar kemarin,Netral
371,cek email kala kakak,Netral
372,izin min minggu kelas,Netral
373,izin min ikut pretest selasa sampek jumat notifikasi mohon cerah min,Positif
374,izin min umum hasil kelulus min terimakasih,Positif
375,selamat malam kakak mohon maaf ganggu buka link format surat nyata tanggung mutlak mahasiswa isi susah hapus sedia harap link tanggal terima kasih,Positif
376,semesester daftar kakak,Netral
377,udahhh sabar,Netral
378,minimal semester program studi independen kakak,Netral
379,kakak umum kakak tes setelaj daftar,Netral
380,met syarat spek laptop software baca situ ajar office kakak,Netral
381,halo kakak daftar tutup coba daftar barusan,Netral
382,learning track intelligence cloud track materi data batch batch advance,Positif
383,umum,Netral
384,jadwal ajar jambrpa min,Netral
385,pathwaylearning track sertifikasi min terimakasih,Positif
386,learning track modern educator track milik laptop spesifikasi,Netral
387,minimal office kakak,Netral
388,min logo certification modern worker track,Netral
389,hai kakak min acc information worker track mbkm apaya kakak min,Netral
390,titip yasoanya kendalanyaa acc info,Negatif
391,iya ayo up kakak min tanggapin,Positif
392,office kakak,Netral
393,bantu install tutor ytb,Positif
394,takut baja,Netral
395,syedih kitaa,Negatif
396,office luar tulis akun office officenyaa,Netral
397,titip,Netral
398,kakak ict spesifikasi laptop kakak model,Netral
399,ayo up ayo,Netral
400,kakak ict spesifikasi laptop kakak model,Netral
401,titip gez,Negatif
402,iwt kah min minimal iya besok terima program,Netral
403,halo kakak kabar acc,Netral
404,hallobisa pesan iya,Netral
405,registrasi kakak,Netral
406,sistem konversi sks kakak konversi full sks,Positif
407,min batch uang saku min program studi independen terimakasih,Positif
408,minimal semester brapa min,Netral
409,minimal semester program studi independen kakak,Netral
410,tanggal januari daftar diri,Netral
411,min daftar giat maribelajar,Positif
412,siaap kakak,Positif
413,min ajar hari jam jam,Netral
414,umum kakak,Netral
415,min langsung apply test,Netral
416,selamat malam kakak mohon maaf ganggu buka link format surat nyata tanggung mutlak mahasiswa isi susah hapus sedia harap link tanggal terima kasih,Positif
